"Write creation type","Class Roll Number","Write creation's  name","Write problem"
Building ,2014127,House,"Dampness:-

Causes-
1. Presence of water in the wall due to leakage of pipe.
2. Not proper ventilation of the building.
3. Water dampness causes growth of bacteria in the wall which causes health issue to the person who are live there.

Preventive Measures-
1. Leakage of bike should not be there.
2. Proper ventilation should be there so that dampness will get dry by air.
3. Good quality paint should be applied.
4. Waterproof quote should be applied on the terrace show that water will not reach to the wall.
"
Residential ,2014127,Building ,"Crack:-
Causes-
1. If provision of sufficient clear covered is not a provided in any structural members like beam than tensioning in lower zone will cause cracks.
2. If described is wider than 0.3 mm then it will covers rusting of bars.
3. In case of water tank acceptable crack limit is only 0.1 mm.
4. If sufficient amount of water is not provided during mixing of concreting and proper curing is not done then also crack develops.
5. Wall exposed to frequently changing temperature then heat and cold will cause cracks.

Preventive Measures-
1. Provide sufficient clear cover that is the minimum clear cover required for beam, slab etc to prevent cracks.
2. If crack initiate then we should do grouting of that parts so that crack will not increase its length.
3. While construction process make sure that we are providing sufficient amount of water as per the water ratio in the concrete mix.
4. After the casting of the structure members we should cure it properly so that crack will not develop like shrinkage crack etc
"
,,,"Residential building, dampness on the outer walls of the building "
,,,"Educational building
Segregation and bleeding of the concrete 
"
,,,"Residential building
Dampness"
,,,"Educational Building
Ventilation problem, design not par with the modern standards"
,,,"Construction waste management, seen dumps of construction waste not properly managed all around the city."
,,,"Creation type and Name - Weir and Barrage
Problem - Uplift Pressure
Piping Failure 
Downstream erosion "
,,,"Creation type and name:- Tower/Truss
Problem :- buckling of members"
,,,"Creation type and name-College building
Problem -Corrosion and cracks"
,,,"Road construction
Problem- In road construction, there are so many problems a civil engineering can face. Some problems are listed below:-
1) maintaing of road level during the cutting and banking of roads.
2) difficulty in maintaining ground water table "
,,,"Creation type - Railway station
Name - Ludhiana Junction
Problem - Efflorescence and Honey combing "
,,,"Structure
Problems -quantity of material,safety in construction, fill the cracks"
,,,"Dame construction
Problem - 1) undermining or piping failure
2) over turning failure
3) crushing at top of dam "
,,,"Building 
Problem- 
Segregation , bleeding in concrete, dampness, cracks forms in building, building should be earthquake resistant , improper layout of foundation, in beam they should calculated by limit state method, failure due to buckling, failure due to settlement of slab , tests should be done before using the raw material 

"
,,,"Creation type and name:- College building
Problem:- Effloroscence and dampness.
"
,,,"Creation type and Name - Bridge
Problem - Crushing and Buckling of columns 
"
,,,"Creation type and name - Residential Building
Problem - Shear cracks and uneven settlement "
,,,Residential/commercial buildings: various cracks are visible on top of the walls after some years of project completion. This might be due to some minor deflections in the slab and it may affect the strength of the structure. This problem generally occurs in load bearing structures & can be reduced if we start designing framed structures.
,,,"Creation type and name- Tunnels
Problems-Rock bursting, water during execution, large shear zones etc"
,,,"Creation type:- weir
Name:- Khanki weir 
Failure reason:- subsurface flow"
,,,"Type:- Road 
Name:- Daba Road to Military Complex Road
1.This road is never made according to the conditions.
2.Life of Newly constructed roads hardly a month. 
3.They had constructed bitumen road first for about approx  3 to 4 times a year but that hardly lasts month after that there are pits allover the road.
4.Even the RCC road didn't survive for a month.
5. The amount of traffic is very large approx 400000 vehicles passed through the road in a day.
"
,,,"Bridge construction
Problem -Design error, construction mistakes, hydraulic, collision, lack of material used and overload "
,,,"Creation type and name - Dhaka Building Collapse
Problem - Unwanted and unexpected generator vibrations."
,,,"Creation type- building
Problem - defective design, extra loads, leaks, cracks, and sagging. Structural failure signifies the lack of the load bearing capability of a structural element or of the complete structure"
,,,"Structural members such as beams and columns
Beams- 1) deflection/ bending
2) shear failure
3) pre mature failure of structure
4) clear cover maintenance 
5) shuttering and de shuttering problems 

Columns - 1) bulking of long columns
2) crushing of short column 
3) clear cover maintenance
4) shuttering and de shuttering problems "
,,,"Creation Type :- Residential/Commercial buildings
Problems:- Minors cracks after sometimes which affects building durability
Maintenance of steels like deformation and corrosion 
"
,,,Residential/Commercial buildings: we face dampness issues everyday in almost every building we visit. This is the most common problem nowadays and people are using various ways to overcome this like they introduce PVC sheets & ACP panels to overcome dampness issues. But using these can only hide the dampness area & the problem still remains the same.
,,,"Railways 
Failures in railways 

Defects in manufacturing

Providing insufficient expansion gap 

The aggregate should be provided in large quantity to reduce vibrations due to rail


"
,,,"Creation - buildings, bridges, aqueduct, RCC structures,steel structures etc. The main problem is maintanence of these structures .like corrosion in steel structures , formation of cracks in RCC structures . To prevent structures from water .that is to provide DPC ,to provide safety .. and durability of the structures .To design the structures ,we should use codal provisions precisely. To construct a structure first we must be known about the money or budget .  Structures can't be uneconomical . that's why we prefer LSM ."
,,,"Creation Creation type and Name - Angers Bridge (suspension bridge)
Problem - Battalion of French soldiers was marching across it together.
"
,,,"Being a civil engineer comes with overwhelming responsibilities from the beginning of a project to very end. From the idea to its concrete form, a civil engineer plays a crucial role. 

The most major problem that I’ve observed isn’t a technical one, rather it’s a fundamental problem. We often think role of civil engineer is limited to just the design and analysis of structure. However, it is a prime duty of a civil engineer to do the required due diligence  even through the construction process. I have came across various scenarios where a civil engineer hand overs the design to contractors and gets rid of the responsibility which ultimately leads to defects due to improper workmanship and supervision.

Some of the technical problems that I have observed as far as civil engineering is concerned are as follows:-

Creation/Structure type - Problem

 1. Pavement- Improper curing in case of rigid pavements (concrete) leading to improper finish of top surface.
2. Pre-Engineered buildings - Excess tolerance parameters are considered. 
3. Industrial sheds - Lack of integrity between supporting walls and steel structure.
4. Slabs - Over-finishing and related concerns.
5. RCC structures - Cracks 
6. Residential buildings - Seepage (Even in new structures).
7. Heavy structures - Improper soil analysis leading to settlement of structure.
8. Underpasses and roads - Improper drainage, leading to clogging or roads.
9. Institutions- Insufficient airflow leading to overheating of structure.
10. Transportation hubs (especially bus stands) - Proper planning is not done leading to traffic congestion and accidents.
11. Over-reinforced structures - Sudden failures leading to fatal accidents.

"
,,,"1) RCC Structures - (hospitals, residential buildings, malls, bridges etc) 
Common problems during construction of RCC structures - 
Lap differences in steel of columns. (due to mistake in reading drawings or poor workmanship) 
Wastage of steel 
wrong spacing between bars
Not Curing properly on site
improper concrete mix (for on site concrete plants)
Not using measures to remove rusting of steel on site. 

Due to these problems during construction, Desired strength of a building cannot be achieved, which further leads to generation of cracks, dampness, and corrosion/rusting of steel members due to its exposure to outer environment. 
So, these problems may cause failure of structure member.

However, Type of soil and its bearing capacity also plays very important role in stability of a structure."
,,,"1. Slab, wall - cracks in building wall & slab,
2. Improper curing of bricks,
3. Dampness in the wall,
4. Honeycombing in building slab, 
5. Defects in brick work
6. Defects in plaster works
7. Long cracks that run across the wall
8. Improper soil analysis
9. Diagonal cracks that appear on the corners of window frames or door frames
10. Use of defective materials
11. Steel- Corrosion of steel reinforcement
12. Poor construction work
13. Lack of planning or supervision
14. Improper construction
15. Design deficiencies
16. Material deficiencies
17. Construction deficiencies
18. Poor workmanship
19. Poor material quality 


"
,,,"Type: Patch Work on Roads 
The patch work is very irregular.
There is no proper way for filling the pits or maintenance  of roads.
The level of patch work from the road is always high.
There is no proper compaction of subsoil and and other materials.
There is no proper bonding between the old and new material.

"
,,,"Creations - bridges, roads, highways, subways and expressways.
Problems - after a rain shower there are pits.
-during work hours it gets clogged.
-maintenance of these structures is one major issue, this structure mandates high maintenance.
-these structures need to be properly designed, built and analysed according to the needs and requirements of the given locations.
"
,,,"Carbon Emission
Due to more and more construction we need Cement at a larger scale.
For which we need more production and that leads to more CO2 in atmosphere."
,,,"Creation type and name- Bridges 
Problem- Corrosion- deterioration of material like steel over the time leads to cracks and then collapse "
,,,"Creation type and name:- Bridges over water 
Problem:-
 For concrete structures- cracks
For steel structure:- Loosen of nuts and bolts. "
,,,"Building construction
Problems - 1) ground water table maintaining issues.
2) Site clearance issues
3) Soil type which is sometimes not suitable to that area.
"
,,,Due to lack of quality of materials used
,,,Due to poor quality of materials used
,,,Due to errors in construction of structure
,,,Due to lack of drainage facility 
,,,Due to soil settlement 
,,,Due to lack of experience of construction workers
,,,Due to improper design of structure 
,,,Due to usage of less quantity of materials as prescribed in design 
